method_id	run_id	seed	commit	validation_loss	n_runs	validation_loss_mean	validation_loss_std	delta	p_at_l	train_loss	training_seconds	actual_steps	model_tokens_M	params_M	memory_GB	evaluation_seconds	status	description
r06_splitqkv	r06_splitqkv-seed42-kn081-20260905T140949Z	42	NA	2.6185063757002354	2	2.6225145123898983	0.005668361266366521	-0.01836397498846054	0.0961745802822237	2.658048846721649	3600.2892362843268	9821	593.827518	170.671168	18.827134609222412	256.0611662887968	discard	Independent Q/K/V Muon orthogonalization with fused model and optimizer storage on R04.
r06_splitqkv	r06_splitqkv-seed43-kn056-20260905T140949Z	43	NA	2.6265226490795612	2	2.6225145123898983	0.005668361266366521	-0.01836397498846054	0.08376809528865857	2.6617181134223937	3600.148000386078	9793	592.414059	170.671168	19.043936252593994	225.06193951051682	discard	Independent Q/K/V Muon orthogonalization with fused model and optimizer storage on R04.
r07_maskcount	r07_maskcount-seed42-kn081-20260905T153016Z	42	NA	2.6133114770054817	2	2.6160206384956837	0.0038313329221025027	-0.01187010109424591	0.10214500196311922	2.657855603694916	3600.160556882154	10384	627.879742	170.671168	18.827134609222412	420.042773257941	discard	Stochastically rounded target counts with preserved expected masking and sequence-mean loss on R04.
r07_maskcount	r07_maskcount-seed43-kn056-20260905T153016Z	43	NA	2.6187297999858856	2	2.6160206384956837	0.0038313329221025027	-0.01187010109424591	0.09431551482731262	2.657810926437378	3600.219431005884	10332	625.058478	170.671168	19.043936252593994	465.009575618431	discard	Stochastically rounded target counts with preserved expected masking and sequence-mean loss on R04.
r08_residual	r08_residual-seed42-kn081-20260905T164603Z	42	NA	2.6074235662817955	2	2.6096899500116706	0.0032051506083310703	-0.00553941261023283	0.10070740259556216	2.667121865749359	3600.332228972111	9545	577.136794	170.671216	20.00888156890869	274.09339543804526	discard	Learned per-layer running-stream and initial-embedding routes on accepted R04.
r08_residual	r08_residual-seed43-kn056-20260905T164603Z	43	NA	2.6119563337415457	2	2.6096899500116706	0.0032051506083310703	-0.00553941261023283	0.09994096819513408	2.6667118859291077	3600.215102941729	9444	571.360267	170.671216	20.23812484741211	456.0468042641878	discard	Learned per-layer running-stream and initial-embedding routes on accepted R04.
r09_context	r09_context-seed42-kn081-20260905T180249Z	42	NA	2.6034652069211006	2	2.6125364545732737	0.012828681457348213	-0.0083859171718359	0.07773831406920009	2.654574842453003	3600.144635313656	12668	615.437781	170.671168	18.94414186477661	250.0570472101681	discard	Continuous-stream context curriculum: 900 seconds at 128, then 512, with fixed LR schedule on R04.
r09_context	r09_context-seed43-kn056-20260905T180249Z	43	NA	2.6216077022254467	2	2.6125364545732737	0.012828681457348213	-0.0083859171718359	0.08922287298656473	2.6655976462364195	3600.115465672221	12663	614.836529	170.671168	18.87424325942993	260.04638772364706	discard	Continuous-stream context curriculum: 900 seconds at 128, then 512, with fixed LR schedule on R04.
r10_sqrtloss	r10_sqrtloss-seed42-kn081-20260905T192728Z	42	NA	2.5902860425412655	2	2.5943719316273928	0.005778319759953412	0.00977860577404499	0.10791944170645766	2.646664769649506	3600.2871268079616	10387	628.061636	170.671168	18.82713556289673	254.0519507434219	keep	Square-root masked-target-count weighting of sequence NLL, globally normalized; original sequence-mean diagnostic on R04.
r10_sqrtloss	r10_sqrtloss-seed43-kn056-20260905T192728Z	43	NA	2.59845782071352	2	2.5943719316273928	0.005778319759953412	0.00977860577404499	0.10274424536456686	2.644200019836426	3600.0578794130124	10328	624.81884	170.671168	19.04393720626831	451.00576111255214	keep	Square-root masked-target-count weighting of sequence NLL, globally normalized; original sequence-mean diagnostic on R04.
r11_mask20	r11_mask20-seed42-kn081-20260905T204321Z	42	NA	2.5891935601830482	2	2.5939743667840958	0.006761081534284215	0.0003975648432970047	0.10704054534234746	2.6507987546920777	3600.2033790191635	10368	626.905599	170.671168	18.82716655731201	270.0235298983753	discard	Training-only 20% Bernoulli mask density with original force-one mask-all corruption on accepted R10 sqrt loss.
r11_mask20	r11_mask20-seed43-kn056-20260905T204321Z	43	NA	2.5987551733851433	2	2.5939743667840958	0.006761081534284215	0.0003975648432970047	0.09852292353444607	2.649727873802185	3600.043831939809	10319	624.272331	170.671168	19.04393720626831	240.0914865550585	discard	Training-only 20% Bernoulli mask density with original force-one mask-all corruption on accepted R10 sqrt loss.
r12_headnorm	r12_headnorm-seed42-kn081-20260905T220047Z	42	NA	2.597066130489111	2	2.597021931782365	6.250641051968778e-05	-0.0026500001549720764	0.11161040132670207	2.6475751185417176	3600.3501402428374	9794	592.173248	170.671168	21.257095336914062	231.36674222024158	discard	Per-head Q/K LayerNorm statistics with unchanged per-channel gains and attention scale on accepted R10.
r12_headnorm	r12_headnorm-seed43-kn056-20260905T220047Z	43	NA	2.5969777330756187	2	2.597021931782365	6.250641051968778e-05	-0.0026500001549720764	0.10413160251777778	2.6482248449325563	3600.147962364834	9752	589.943802	170.671168	21.5012149810791	352.0789375300519	discard	Per-head Q/K LayerNorm statistics with unchanged per-channel gains and attention scale on accepted R10.
r13_polarexpress	r13_polarexpress-seed42-kn081-20260905T232408Z	42	NA	2.582039177417755	2	2.598592324182391	0.023409684654500607	-0.004220392554998398	0.10876522007730915	2.6460794472694396	3600.261543279048	10345	625.537155	170.671168	18.82713556289673	262.0230452781543	discard	Five stabilized Polar Express orthogonalization steps in native Muon framework on accepted R10.
r13_polarexpress	r13_polarexpress-seed43-kn056-20260905T232408Z	43	NA	2.615145470947027	2	2.598592324182391	0.023409684654500607	-0.004220392554998398	0.10152549723652571	2.6441706228256225	3600.020536439959	10300	623.126214	170.671168	19.04393720626831	463.0222257836722	discard	Five stabilized Polar Express orthogonalization steps in native Muon framework on accepted R10.
r14_headgate	r14_headgate-seed42-kn081-20260906T004223Z	42	NA	2.604304561391473	2	2.6094640912488103	0.0072966770997155775	-0.015092159621417522	0.10854930696833652	2.6535282015800474	3600.252947829198	9630	582.261267	170.892352	20.03165102005005	262.04032751126215	discard	Query-dependent head output gates initialized at identity with 2*sigmoid, on accepted R10.
r14_headgate	r14_headgate-seed43-kn056-20260906T004223Z	43	NA	2.6146236211061478	2	2.6094640912488103	0.0072966770997155775	-0.015092159621417522	0.0985924071157604	2.6552809953689573	3600.342561942991	9599	580.677011	170.892352	20.260656356811523	480.15228848019615	discard	Query-dependent head output gates initialized at identity with 2*sigmoid, on accepted R10.
r15_adamuon	r15_adamuon-seed42-kn081-20260906T020514Z	42	NA	2.608914740383625	2	2.6093969102948904	0.0006818912278797226	-0.015024978667497635	0.11239782877038226	2.658961796760559	3600.3224669550546	9921	599.86685	170.671168	19.4671630859375	235.36683277133852	discard	AdaMuon v3 sign-stabilized, variance-adaptive RMS-aligned updates on accepted R10; native NS5 and fp32 second moments.
r15_adamuon	r15_adamuon-seed43-kn056-20260906T020514Z	43	NA	2.6098790802061558	2	2.6093969102948904	0.0006818912278797226	-0.015024978667497635	0.1076438517263567	2.663573079109192	3600.1467912290245	9874	597.337956	170.671168	19.6846022605896	266.49956167442724	discard	AdaMuon v3 sign-stabilized, variance-adaptive RMS-aligned updates on accepted R10; native NS5 and fp32 second moments.
r16_geglu	r16_geglu-seed42-kn081-20260906T032028Z	42	NA	2.5903162509202957	2	2.6013420447707176	0.015592827199196527	-0.006970113143324852	0.11062270811494453	2.6472403144836427	3600.2269445690326	10366	626.784418	170.671168	18.82713556289673	268.98023285903037	discard	GEGLU replaces SwiGLU in all 24 FFNs with identical matrices and initialization on accepted R10.
